latitude,longitude,population_density,urbanization_level
61.7956,-149.6592,972,High
40.5248336791992,-124.41300201416,238,High
19.2893333435059,-155.371505737305,25,Low
53.9026666666667,-166.414166666667,793,Low
52.8736666666667,-169.809833333333,281,Medium
52.7866666666667,-169.851666666667,250,Medium
64.5356,-149.2355,477,Low
55.0483333333333,-162.235166666667,747,Low
61.293,-152.2173,363,High
46.5295,-122.9675,150,Low
51.92,-177.23,218,High
17.9053333333333,-66.9421666666667,162,Medium
59.7265,-152.7255,334,High
-17.9261,-174.9645,401,Low
37.0251,-116.2189,169,Medium
64.7853,-149.0222,621,High
64.9798,-147.3785,106,Medium
55.0458333333333,-162.232666666667,674,Medium
55.0378333333333,-162.247166666667,235,Low
58.2691666666667,-155.114,418,High
55.0475,-162.2365,718,Medium
33.534,-116.4396667,136,High
19.3816666666667,-155.241,886,Low
57.4714,-155.1212,817,High
36.6865005493164,-121.372329711914,677,Low
35.9936667,-117.6881667,697,High
19.1821666666667,-66.5855,987,Medium
38.8455009460449,-122.825668334961,617,Medium
38.8248329162598,-122.80883026123,345,Medium
19.1700000762939,-155.488830566406,674,High
59.7536,-150.754,171,High
52.8381666666667,-169.836833333333,99,High
64.1512,-153.1246,185,Medium
58.2501666666667,-155.161,61,High
44.374,-115.1822,946,Low
58.2541666666667,-155.150833333333,921,Medium
18.6946666666667,-67.2548333333333,595,High
19.3863334655762,-155.279495239258,251,High
-54.0548,-2.4865,771,High
19.4120006561279,-155.288833618164,561,Medium
60.7241,-151.7982,921,Low
33.5303333,-116.7295,894,Low
-53.9944,-2.4587,818,Medium
-2.9795,139.2355,168,Medium
40.9308333333333,-124.916333333333,518,High
61.2545,-146.7795,479,Medium
37.357666015625,-119.046333312988,426,Medium
58.2543333333333,-155.123333333333,871,Medium
63.2917,-150.3212,848,High
60.151,-153.1735,152,High
51.798,-178.806666666667,219,Medium
57.9119,-142.7148,810,Low
19.3640003204346,-155.265670776367,542,Low
19.3731666666667,-155.238,709,Low
61.6562,-148.0712,277,High
31.3826667,-115.8545,274,Low
37.8860015869141,-122.211669921875,167,High
19.3646659851074,-155.29817199707,517,Medium
62.7167,-148.7096,37,Low
51.9883,-170.7672,315,Medium
35.6836667,-118.3963333,868,Low
62.4525,-147.8008,900,High
34.029,-116.883,876,High
19.2876663208008,-155.406661987305,157,Medium
60.4599,-152.3576,340,High
53.9135,-166.366666666667,487,High
34.2231667,-118.583,503,High
51.7603333333333,-177.47,248,Low
7.7231,-82.3344,935,Medium
19.1526660919189,-155.352172851562,17,Medium
31.698,-104.174,18,High
19.3813323974609,-155.23583984375,87,High
22.0141,143.0437,456,Low
60.5685,-149.9082,423,High
53.8676666666667,-166.896,609,Medium
53.7706666666667,-166.922666666667,167,Low
31.535,-104.148,892,Low
19.0688,145.5542,816,High
37.2818336486816,-118.690330505371,48,Low
19.4368324279785,-155.425827026367,608,High
52.7166666666667,-169.885333333333,129,High
61.022,-142.834,701,High
62.0155,-147.85,319,Medium
59.5698,-153.0062,999,Low
48.60266666666666,-121.27883333333334,30,Low
38.5424,142.2455,444,High
37.5327,-117.9418,275,Medium
17.9861666666667,-66.8088333333333,609,High
32.2451,100.9605,810,Medium
61.2803333333333,-152.334333333333,553,Low
33.1155,-116.517,182,Low
58.2983333333333,-154.948166666667,553,Medium
31.672,-104.199,989,High
31.625,-104.359,247,High
61.7715,-149.6538,755,Medium
-18.1055,168.125,664,Medium
63.5016,-148.3893,371,Medium
32.908,-115.5516667,378,Low
61.9495,-149.8186,132,Low
35.8668327331543,-120.411666870117,908,Medium
46.80016666666667,-123.51383333333334,265,Low
19.289,-155.2225,342,Low
52.3363333333333,-174.2355,635,Low
32.976,-116.319,671,Medium
38.8203315734863,-122.813003540039,654,High
19.1641674041748,-155.489501953125,614,Low
19.1888332366943,-155.496337890625,686,High
36.769,-116.2581,692,Low
17.9401666666667,-66.8493333333333,981,Low
19.3875007629395,-155.292999267578,128,Medium
53.9093333333333,-166.385833333333,989,High
62.0276,-151.2129,132,Medium
61.0824,-150.6416,770,High
61.3302,-146.7735,259,Medium
33.4836667,-116.4538333,532,Medium
33.5233333,-116.5303333,592,Low
19.1641674041748,-155.478668212891,388,Low
19.3255,-155.247833333333,473,Low
63.2893,-151.3986,63,Medium
19.1938323974609,-155.375335693359,397,Low
36.1863333333333,-89.4968333333333,231,Medium
33.4706667,-116.7558333,832,Low
17.9341666666667,-66.2946666666667,291,Medium
36.6931648254395,-121.366996765137,821,High
58.2483333333333,-155.138833333333,859,Medium
4.2862,-75.8571,862,High
36.9399,-116.0881,310,High
19.312,-155.22,144,High
46.202333333333335,-122.19,258,Low
36.7526,-116.2783,73,Low
59.438,-152.7297,215,Low
19.1494998931885,-155.481338500977,213,Medium
36.9414,-116.104,485,High
35.3863333,-118.2215,290,Low
38.8370018005371,-122.75333404541,311,Medium
19.3861666666667,-155.242666666667,113,Low
34.3503333,-116.457,968,Medium
19.4584999084473,-155.231338500977,69,High
19.4451675415039,-155.413833618164,545,Low
58.1815,-155.292833333333,789,Low
61.3245,-152.2695,146,High
61.2843333333333,-152.355666666667,370,Low
-6.6211,147.4037,211,High
61.6671,-149.6997,445,Medium
19.1714992523193,-155.47917175293,416,High
60.1379,-152.97,882,High
60.012,-153.086833333333,939,High
53.8736666666667,-166.913333333333,727,Low
19.2035007476807,-155.49299621582,322,Medium
64.4977,-146.9225,744,Medium
-6.3572,149.7145,765,High
36.955,-116.0729,750,Low
-18.2728,-70.6548,603,Medium
34.14,-84.04,245,Low
63.3967,-149.3675,412,Low
37.2046,-117.3595,432,High
46.3315,-122.24066666666668,271,Medium
64.3069,-148.3752,391,Low
19.378999710083,-154.934326171875,785,High
19.3115,-155.220666666667,518,Medium
60.2269,-150.7733,83,High
61.1133333333333,-152.549833333333,645,High
36.7051,-117.3675,91,High
65.5752,-144.8801,798,Medium
54.1423333333333,-165.9175,24,Low
36.9375,-116.0953,555,Medium
36.9107,-116.099,46,Medium
19.3028335571289,-155.214340209961,100,Low
19.4646663665771,-155.140167236328,819,Medium
46.827,-110.736,188,High
61.2519,-146.8821,538,Medium
-55.1718,-28.8828,742,High
38.7931671142578,-121.485168457031,613,Low
58.4456666666667,-154.363833333333,362,High
36.9422,-116.088,889,High
52.7538333333333,-169.8765,447,High
59.9828333333333,-153.058,424,Low
36.9416,-116.0849,598,Medium
61.3304,-148.0728,86,High
52.6931666666667,-169.87,894,High
36.7109,-116.0913,94,Low
60.3996,-147.7614,671,High
46.1165,-111.396833333333,904,Medium
61.2893333333333,-152.329333333333,368,Low
61.9246,-150.0826,868,Low
57.7858,-155.3239,917,High
19.1668338775635,-155.354995727539,591,Medium
59.9863333333333,-153.063,822,Low
54.1581666666667,-165.925,808,Low
59.9241,-151.4348,625,Medium
34.1513333333333,-84.0328333333333,83,High
54.147,-165.9195,35,Medium
35.6228333,-117.4715,637,High
37.5115,-118.826166666667,828,Low
36.719,-116.08,856,Low
57.6324,-155.3948,440,Medium
31.626,-104.129,826,Medium
37.5106658935547,-118.833503723145,340,Medium
37.640998840332,-122.047332763672,55,Low
54.1476666666667,-165.925333333333,147,Low
33.5245,-116.7315,562,Low
-43.1731,-75.6604,423,High
33.85,-116.1473333,805,Low
37.8203315734863,-122.029998779297,641,Low
63.1168,-151.5449,937,High
59.6458,-152.7847,962,Low
31.634,-104.38,504,Medium
62.2609,-151.0329,680,Low
37.5115013122559,-118.834999084473,519,High
53.9016666666667,-167.058,632,Medium
33.64,-117.9036667,949,High
19.17799949646,-155.480331420898,45,Low
51.7515,-177.474666666667,858,Low
-3.455,128.2527,363,Medium
31.676,-104.203,208,Low
32.6408333,-115.7325,991,High
32.6376667,-115.716,898,Low
47.02816666666666,-122.97883333333333,846,Low
33.6401667,-117.898,681,Low
61.3015,-152.275,702,High
31.602,-104.527,514,Low
31.609,-103.978,673,Low
33.63,-117.9046667,173,High
33.6311667,-117.9098333,308,Low
19.3158340454102,-155.214996337891,957,Low
-55.1304,-28.9057,525,High
58.1676666666667,-155.3815,120,High
38.7928352355957,-122.748497009277,304,Medium
40.699,-74.7633,259,Medium
19.4003333333333,-155.262833333333,176,Medium
59.8968,-152.6839,281,High
38.7863349914551,-122.74299621582,618,Medium
33.6438333,-116.7095,929,Low
-55.3027,-29.1944,111,High
-55.1773,-29.1133,365,Medium
19.3135,-155.211666666667,993,Low
19.3135,-155.217833333333,804,Low
19.3151666666667,-155.219333333333,576,High
51.9041666666667,179.591,93,High
54.1185,-165.947,282,High
38.6754989624023,-122.887336730957,716,Medium
38.8370018005371,-122.834503173828,845,Low
-3.0147,141.877,82,High
32.8905,-115.5185,488,Low
38.7758331298828,-122.744163513184,364,Medium
54.1108333333333,-165.949666666667,649,Medium
32.9778333,-116.3128333,956,Low
32.8778333,-115.5178333,461,High
35.9635,-117.6583333,482,Low
57.6878333333333,-156.099333333333,52,Medium
54.1193333333333,-165.951166666667,549,High
38.8443336486816,-122.832000732422,578,Medium
54.1156666666667,-165.943833333333,418,Medium
54.1168333333333,-165.944166666667,498,High
52.8258333333333,-169.867,860,Medium
63.2123,-151.3157,701,Low
33.5833333,-116.806,952,Low
52.3376666666667,-174.188,569,High
52.3401666666667,-174.168833333333,32,Medium
52.3363333333333,-174.194166666667,37,Medium
52.341,-174.2325,251,High
34.2568333333333,-92.5476666666667,575,Medium
65.5245,-144.8497,888,Medium
33.8785,-117.5001667,808,Low
52.3353333333333,-174.1885,628,Medium
52.3375,-174.220666666667,245,High
52.3346666666667,-174.231666666667,856,Medium
52.3431666666667,-174.145166666667,584,High
52.3373333333333,-174.187333333333,548,Medium
51.9668333333333,178.413166666667,544,High
52.3398333333333,-174.219,634,Low
52.3415,-174.236833333333,635,Medium
38.8443336486816,-122.83032989502,326,Low
58.7162,-153.5325,539,Medium
38.8461685180664,-122.831665039062,756,High
47.174,-114.019166666667,336,Medium
51.759,-177.478166666667,504,Medium
65.1995,-147.0527,137,Medium
31.675,-104.197,165,Low
34.068,25.5982,675,High
51.7576666666667,-177.470833333333,794,Low
38.8351669311523,-122.799003601074,132,Low
46.9143333333333,-112.5215,620,Low
38.835334777832,-122.816497802734,383,High
51.9363333333333,179.382166666667,820,Low
46.0163333333333,-112.459833333333,787,Medium
34.9435,-97.32766667,503,High
31.676,-104.181,355,Medium
-7.1889,121.0828,519,High
60.921,-151.7879,683,High
38.7924995422363,-122.757331848145,15,High
38.8226661682129,-122.843170166016,486,High
61.1963333333333,-152.249666666667,647,Low
38.8321647644043,-122.815002441406,22,High
-22.3366,-70.1649,872,Low
62.4874,-153.1466,58,Low
63.5386,-151.0136,202,High
31.522,-104.008,719,High
51.8426666666667,179.62,164,High
61.722,-147.5244,128,Low
38.8308334350586,-122.791831970215,436,Low
31.64,-103.994,571,Low
19.2811660766602,-155.401672363281,45,Low
60.0131666666667,-153.046333333333,359,Low
58.2328333333333,-155.123166666667,148,Low
51.8015,-178.843666666667,524,Medium
34.5761667,-117.2516667,713,Medium
36.2185,-95.85983333,470,Medium
-20.5543,-69.1454,448,Low
24.1681,121.6971,563,Medium
61.3165,-152.270666666667,342,Low
32.9168333,-116.2395,124,Low
38.8224983215332,-122.813667297363,423,Medium
19.1854991912842,-155.365005493164,256,High
36.6302,-116.2857,692,High
36.1166667,-117.884,956,Low
33.3913333,-116.339,89,Medium
51.8086666666667,179.566666666667,481,Medium
36.7517,-116.28,353,Medium
60.0433333333333,-153.117166666667,589,Low
36.3643341064453,-120.423332214355,349,Medium
31.517,-104.012,436,High
33.3458333,-116.2333333,117,Low
38.8356666564941,-122.782836914062,848,Low
65.2538,-148.9856,460,Low
34.442,-117.909,823,High
32.4368333,-115.1688333,753,Medium
38.7863349914551,-122.766830444336,457,High
44.3191666666667,-115.180666666667,67,High
31.681,-104.421,671,Low
38.8291664123535,-122.852500915527,761,High
45.07983333333333,-120.99216666666666,514,High
35.6475,-117.4786667,409,High
60.0096666666667,-153.140333333333,593,Medium
52.7565,-169.884333333333,262,Low
31.678,-104.426,183,Medium
-2.9965,138.2797,677,Low
-9.0417,116.8871,645,Low
61.5881,-149.967,595,Low
38.751335144043,-122.717002868652,597,Medium
38.7958335876465,-122.785835266113,628,Medium
51.866,-177.914166666667,573,Low
63.2994,-149.9155,88,Medium
58.318,-154.964666666667,719,Low
35.6631667,-117.5108333,570,Low
38.8191680908203,-122.821998596191,121,Low
58.1755,-155.278333333333,325,Low
60.927,-150.9656,326,Medium
51.7708333333333,-177.4605,535,Low
19.2724990844727,-155.379165649414,296,Medium
38.8349990844727,-122.816833496094,812,High
51.7638333333333,-177.467,835,Low
60.9402,-151.1032,569,Low
33.4653333,-116.5625,989,Medium
47.76433333333333,-122.383,378,Medium
38.8333320617676,-122.801498413086,141,Medium
60.2661,-149.8968,728,Low
20.1650009155273,-155.729995727539,628,High
18.0278333333333,-66.8351666666667,603,Low
50.1322,147.6405,772,Medium
65.802,-143.6775,857,Low
35.7756667,-117.5891667,508,High
33.471,-116.4975,928,High
19.0585,-66.6838333333333,332,Medium
38.8139991760254,-122.820503234863,694,Medium
19.3621666666667,-155.086,547,Low
55.3608,-157.0519,963,High
38.8048324584961,-122.770332336426,703,Low
37.5058326721191,-118.841331481934,637,Low
38.5115,-112.902166666667,619,Low
66.4793,-147.7519,247,Medium
38.800666809082,-122.751998901367,610,Medium
61.4281,-146.6071,103,High
38.8241653442383,-122.802001953125,858,Medium
33.0323333,-116.2958333,487,High
62.1245,-151.2338,547,High
35.7026,-116.548,128,Low
38.8216667175293,-122.844169616699,285,Medium
33.7211667,-116.8406667,307,Low
62.0677,-151.8442,969,High
33.2843333,-115.689,377,Low
51.7751666666667,-177.486,213,Low
36.7234992980957,-121.119667053223,470,High
65.5532,-145.9759,398,Low
33.2705,-116.4353333,545,Low
36.7304,-115.8931,126,Medium
19.2189998626709,-155.374160766602,244,High
60.8397,-146.8471,416,Medium
62.8234,-151.3937,529,High
46.19416666666667,-122.18883333333332,199,High
51.9603333333333,179.497333333333,314,Medium
51.9233333333333,179.590166666667,216,High
62.6735,-149.2079,903,High
38.8463325500488,-122.815002441406,111,Low
54.8193333333333,-163.9555,50,Low
63.3081,-145.3802,312,Medium
54.13,-165.9005,694,High
36.5364990234375,-121.117668151855,247,Low
33.6495,-116.706,317,High
57.6433,-153.4323,318,High
62.7412,-149.5354,889,Medium
51.8701666666667,-177.855,721,Medium
40.7051,84.2414,655,Low
61.2891666666667,-152.333666666667,651,Low
35.9676667,-117.6496667,234,High
48.23883333333333,-121.67816666666668,758,High
61.2881666666667,-152.2905,605,Medium
61.2966666666667,-152.282833333333,640,Medium
60.0661666666667,-153.071666666667,300,High
31.6492,-104.4272,817,Medium
31.634,-104.374,992,High
60.013,-153.109166666667,489,Medium
31.68,-104.421,970,High
51.7365,-176.843166666667,783,Medium
60.7962,-150.5041,687,Low
19.3906666666667,-155.271833333333,324,Low
35.6815,-117.5415,812,High
38.8188323974609,-122.823501586914,798,Low
51.7615,-177.468833333333,406,Low
62.0069,-148.5719,36,High
33.2786667,-116.2421667,649,Medium
59.7539,-29.9123,668,Low
38.8235015869141,-122.765502929688,301,Low
38.49,-112.897,304,Medium
63.4484,-147.5361,185,High
19.4073333740234,-155.2431640625,525,Low
61.7878,-146.8101,593,High
31.672,-104.549,237,Medium
47.4347,-70.0302,422,High
64.6858,-147.6077,860,High
17.6716,-68.34,35,Medium
35.5078333,-118.3891667,36,High
56.1646666666667,-159.374833333333,791,Medium
13.6834,-91.8598,415,Medium
60.0658333333333,-153.052,568,Medium
46.20283333333333,-122.18683333333334,508,Medium
57.0571666666667,-135.757666666667,709,Medium
51.8551666666667,-177.795333333333,24,High
18.626,-68.6285,334,High
38.8334999084473,-122.818496704102,813,Low
34.1018333,-116.6295,342,Low
51.6391666666667,-178.759833333333,275,High
59.9618333333333,-152.938833333333,87,High
52.0776666666667,-176.131333333333,831,High
48.88583333333333,-123.09633333333332,432,High
26.8865,140.4093,306,High
38.7798347473145,-122.757499694824,414,High
35.8001670837402,-120.733497619629,549,Low
35.8006667,-117.6271667,731,Medium
62.2146,-150.9595,226,Low
27.9856,130.1874,594,Low
63.5642,-151.9389,843,High
38.8081665039062,-122.821334838867,494,High
19.2113342285156,-155.477172851562,411,Low
47.6405,-121.75266666666668,321,High
61.4065,-150.0694,475,Medium
36.7687,-116.2688,827,Medium
46.203,-122.19083333333332,191,Medium
64.3799,-145.7792,624,Low
57.5167,-156.7097,595,Medium
-4.9767,154.1146,966,High
60.024,-153.042833333333,787,High
64.7057,-147.9675,291,High
33.5868333,-116.8066667,913,Low
32.8895,-116.0161667,597,Low
33.7521667,-116.9728333,574,Low
57.2278,-154.8968,495,Low
35.705,-117.5536667,30,Medium
61.3947,-146.8038,461,Low
-24.0104,-66.864,662,High
19.386999130249,-155.283660888672,434,Medium
19.6368,-70.9676,926,Medium
35.5546,140.7552,463,High
65.983,-147.9785,520,High
57.7639,-156.6179,494,Low
38.8348350524902,-122.791999816895,359,Low
38.8201675415039,-122.813003540039,550,Medium
31.526,-104.013,318,Low
36.8278350830078,-121.578330993652,143,Medium
36.8294982910156,-121.582496643066,887,Medium
35.0416667,-117.667,978,Low
34.5675,-116.4623333,362,High
19.157,-66.6496666666667,219,Low
35.8871667,-117.7023333,956,Low
31.692,-104.073,308,Low
38.8066673278809,-122.81233215332,716,Low
35.4826667,-117.5043333,538,High
62.3571,-149.0707,749,High
19.3933334350586,-155.280670166016,751,Low
35.9558333,-117.9268333,779,Medium
60.0491666666667,-153.060333333333,216,High
19.1753330230713,-155.481002807617,621,Low
19.2261666666667,-66.719,447,Low
38.8101654052734,-122.820335388184,207,Low
58.2626666666667,-154.938833333333,909,Medium
31.739,-104.546,277,High
58.258,-154.923333333333,351,High
46.54983333333333,-121.37333333333332,940,Low
19.1918,-66.677,407,High
-18.2718,-174.5986,615,Medium
36.7162,-116.0478,741,Medium
35.64383333,-98.07566667,366,High
48.09,-121.944,932,Low
54.145,-165.9035,735,High
34.9876667,-118.1948333,889,Medium
58.9352,-154.2099,173,Medium
35.9147,-115.1202,53,Medium
61.9061,-149.3476,80,Medium
38.8041648864746,-122.782333374023,457,Low
38.7789993286133,-122.758499145508,461,High
36.7464981079102,-121.483833312988,917,Low
33.6341667,-117.907,525,Low
61.2851666666667,-152.334833333333,268,Low
55.0481666666667,-162.235166666667,873,Medium
-17.4565,-178.8373,243,High
32.4305,-115.1671667,27,High
19.1791667938232,-155.490997314453,843,High
38.8139991760254,-122.817337036133,658,Low
53.9366666666667,-166.928,496,High
37.0399,-118.2348,182,Medium
46.341,-111.616833333333,932,High
60.52,-152.0461,654,Medium
58.6685,-155.0456,128,Medium
31.536,-104.009,27,High
35.6728333,-117.5243333,721,Medium
64.5649,-153.8416,982,Low
55.0471666666667,-162.238166666667,81,High
38.7983322143555,-122.75,686,High
61.8994,-148.2306,667,Low
31.512,-104.006,812,High
31.521,-104.018,921,Medium
35.3176667,-118.5201667,472,High
31.518,-104.018,216,High
38.5103340148926,-119.510833740234,825,Medium
33.0236667,-115.9923333,546,Low
63.2692,-151.8355,181,High
58.5963333333333,-154.334166666667,985,High
38.8028335571289,-122.782165527344,638,Low
37.9228324890137,-121.956169128418,13,High
51.603,177.9268,158,High
38.8261680603027,-122.762832641602,281,Medium
40.698,-74.7722,945,Medium
51.83,-176.024,814,Medium
38.8330001831055,-122.810668945312,955,Medium
33.8956667,-116.2458333,307,Low
-23.5523,-179.5815,308,Low
60.0425,-140.4594,198,High
31.63,-104.507,872,High
64.979,-147.4601,859,Medium
35.9481658935547,-120.938499450684,714,Medium
33.894,-116.2421667,857,Medium
51.1598,179.6884,227,Medium
46.213166666666666,-122.1975,689,Low
33.7495,-117.1036667,960,Low
38.8110008239746,-122.828330993652,554,High
32.9805,-116.3178333,952,Medium
62.1557,-149.4261,505,Medium
59.7641,-150.8605,207,Medium
35.0505,-118.3491667,640,Low
31.353,-103.655,935,Medium
38.7796669006348,-122.757164001465,99,Medium
19.1731662750244,-155.476837158203,694,Medium
60.6309,-151.7794,531,Low
19.1733333333333,-155.4865,238,Medium
58.1816666666667,-155.332166666667,402,Low
19.3846664428711,-155.27799987793,59,Medium
31.521,-104.012,829,Low
19.1660003662109,-155.476837158203,865,High
19.1643333333333,-155.480333333333,600,Low
38.8203315734863,-122.81266784668,816,High
38.8216667175293,-122.811332702637,458,Low
38.8206672668457,-122.814498901367,659,Low
33.0355,-115.9963333,791,High
38.8321647644043,-122.884330749512,732,Medium
38.8333320617676,-122.881332397461,381,Medium
32.4088333,-115.1821667,286,Medium
58.4095,-154.401833333333,832,Medium
61.1596,-150.2922,477,Low
-16.0144,167.8828,682,Medium
47.75066666666667,-121.8615,902,Medium
60.0516666666667,-153.060833333333,430,Low
38.821834564209,-122.81266784668,348,Medium
31.633,-104.508,854,Medium
51.6246666666667,-178.766666666667,388,High
38.8226661682129,-122.80233001709,711,Medium
38.8224983215332,-122.801170349121,242,Low
38.8226661682129,-122.842002868652,456,Medium
31.727,-104.657,738,Low
63.301,-150.4542,982,Medium
36.9424,-116.0819,903,High
32.7281667,-115.8171667,315,High
35.1255,-97.94066667,891,Medium
35.63783333,-98.08366667,635,Low
-38.2187,176.0333,332,Medium
19.1661666666667,-155.482833333333,714,Low
61.0868,-151.1282,959,High
35.55916667,-96.73133333,934,High
61.3743,-146.9818,958,Low
38.8131675720215,-122.80549621582,366,Medium
33.9945,-117.0051667,239,High
59.5201,-152.7953,776,Low
18.401,-67.468,894,Medium
35.6208333,-117.4683333,361,High
19.4905,-155.9905,50,High
51.632,-178.761833333333,802,Medium
38.8194999694824,-122.822830200195,511,Low
33.5811667,-116.8078333,240,High
32.4331667,-115.1801667,354,High
36.7446,-116.2825,532,Low
38.8294982910156,-122.81600189209,92,Medium
36.1811,139.7503,276,High
33.9325,-116.3256667,173,High
38.8126678466797,-122.822830200195,346,Low
33.5805,-116.8126667,417,Medium
58.225,-155.613166666667,864,Low
31.769,-103.803,387,Medium
33.925,-116.7151667,712,High
60.7026,-151.7973,313,High
33.8801667,-116.283,781,Medium
32.4126667,-115.1938333,149,High
18.2225,-67.3491666666667,936,High
38.8226661682129,-122.800834655762,503,High
51.6338333333333,-178.801,359,High
51.6383333333333,-178.767666666667,589,High
34.0495,86.2468,692,Low
34.19,-117.6005,416,Low
32.4225,-115.1796667,559,Low
38.2845,-112.2745,780,Medium
38.8186683654785,-122.783836364746,272,Low
41.653,-112.3165,179,Low
34.2915,-117.0348333,282,High
61.5623,-146.3249,685,High
38.8276672363281,-122.804000854492,819,High
33.5806667,-116.6018333,413,Medium
38.8283348083496,-122.853164672852,857,High
38.833667755127,-122.81583404541,442,Medium
32.43,-115.181,208,Medium
60.7815,-151.7175,976,Medium
32.4236667,-115.1573333,364,High
32.418,-115.1813333,32,High
38.8213348388672,-122.820663452148,47,Low
0.4081,98.5654,177,Medium
63.1677,-150.4863,630,High
32.4158333,-115.1671667,299,High
60.062,-153.044166666667,61,High
34.6036667,-118.6211667,285,Medium
19.3994998931885,-155.261337280273,112,High
51.8613333333333,-177.909833333333,262,Low
38.8339996337891,-122.813331604004,806,Low
51.8608333333333,-177.902,485,High
-59.6749,-29.5885,403,Medium
41.5773333333333,-112.433,54,Medium
32.4158333,-115.1865,64,Medium
32.4163333,-115.1956667,370,Medium
38.8310012817383,-122.814834594727,818,Medium
38.8320007324219,-122.813499450684,857,High
38.832332611084,-122.810501098633,664,High
38.8326683044434,-122.813163757324,630,Low
40.5011666666667,-112.177333333333,491,High
38.8366661071777,-122.834831237793,27,Medium
38.832332611084,-122.813003540039,602,Low
38.8310012817383,-122.811332702637,449,Low
38.8331680297852,-122.81266784668,785,High
17.9776666666667,-67.0278333333333,29,High
40.1365013122559,-123.872001647949,558,Low
38.8305015563965,-122.810836791992,160,Low
32.4205,-115.1776667,113,Medium
33.495,-116.553,942,Low
32.4228333,-115.1728333,152,Medium
46.2025,-122.185,291,Low
59.8019,-150.7667,689,Medium
46.0585,-122.11583333333331,633,High
32.4255,-115.1625,702,Low
46.060833333333335,-122.11083333333332,754,Medium
-19.2767,169.65,458,Low
32.308,-101.037,918,Medium
36.53316667,-98.97283333,640,Low
36.961498260498,-121.688163757324,812,High
38.8328323364258,-122.818168640137,934,High
36.9426,-116.0855,60,High
32.3626667,-115.1661667,289,High
38.8161659240723,-122.821998596191,294,High
35.6028333,-117.5908333,39,Low
33.267,-116.4263333,888,Low
59.9788333333333,-153.045,208,Low
32.3206667,-115.157,737,High
31.617,-104.52,741,High
62.1806,-145.7025,970,Medium
35.6588333,-117.529,277,High
45.99766666666667,-122.72283333333333,387,Medium
32.3733333,-115.1733333,302,Medium
32.3695,-115.1685,842,Low
32.3393333,-115.135,632,Medium
32.3538333,-115.153,102,Low
35.13666667,-97.94283333,471,Medium
32.314,-115.1216667,239,High
32.3448333,-115.1458333,750,Low
41.5676666666667,-112.414166666667,241,Medium
32.3156667,-115.1663333,937,Medium
32.3746667,-115.2001667,759,High
-13.7175,14.232,389,High
57.0868333333333,-135.714833333333,969,Medium
35.6748333,-117.5293333,374,High
33.967,-116.9646667,963,Low
60.149,-150.4358,908,Low
60.1158,-152.9054,566,Low
19.3203333333333,-155.134666666667,858,Medium
63.291,-150.4165,486,Medium
36.536,-98.9705,250,Medium
36.53283333,-98.97,569,Low
38.167,-117.9503,101,High
57.015,-135.659,595,Medium
27.7035,-111.6118,388,Low
36.1789,35.862,246,Low
46.207,-122.1865,754,High
38.4996666666667,-112.893,788,Low
33.4976667,-116.5503333,475,High
38.7565002441406,-122.727836608887,21,High
